site_id,filterer,gatherer,predator,scraper,shredder,<NA>
16-SWEL-0.1,57,107,23,13,13,0
16-SWMP-6.8,34,129,29,2,7,0
16-WEBA-23.3,10,151,9,22,7,2
16-WEBA_T4-1.3,51,77,11,13,52,0
17-BRWN-0.9,194,71,19,0,32,15
17-BVDC-0.4,101,196,14,1,5,0
17-CARL-0.8,73,60,23,32,15,0
17-CARM-12.9,69,134,29,0,4,6
17-CARM-9.0,37,131,39,3,5,1
17-EMED-0.4,34,3,4,0,4,0
17-GREN-0.8,25,145,33,12,2,2
17-MASS-1.2,27,306,20,24,5,0
17-MBUR-2.1,8,192,11,1,0,8
17-MIAN-14.2,34,125,42,11,8,0
17-MUDL-1.4,51,144,29,8,4,0
17-NISS-4.7,95,85,14,16,21,0
17-NISS_E-2.6,72,90,34,4,0,1
17-OROW-0.6,1,204,2,2,6,1
17-PECN-12.4,0,7,0,0,1,1
17-PECN-8.9,82,101,12,9,4,3
17-PENA-1.4,11,172,17,2,1,0
17-SAMP-2.1,116,146,29,2,16,1
17-SANT-1.7,100,39,27,5,1,0
17-SWML-1.4,2,12,3,1,8,14
17-TERR-0.2,39,85,43,2,35,3
