site_id,SITE_SCORE,dom_5_ttaxa,pct_gatherer,rich_ttaxa,pct_rich_ttaxa_toe,rich_ttaxa_tol_0to7,shannon_ttaxa_toe,condition_class,SITE_SCORE_FINAL
01-FISN-2.4,7.2831682646262275,14.87207153027744,1.7671576041574353,15.625,15.384615384615385,3.3333333333333335,0,3,0
01-GILL-0.3,25.90833925940189,18.72942009966911,18.91619600348719,18.75,58.29959514170041,20,46.66316357095654,3,1.5998094730575092
01-GOTC-0.2,31.256834785251197,29.61899062437661,35.412442436658445,40.625,42.60355029585799,33.33333333333333,37.204526806532016,3,2.6131464128356137
01-LSIS-2.4,40.99189702077522,50.969328485433664,31.832746756316656,56.25,53.598014888337474,46.666666666666664,47.62652234867205,2,4.457571284580987
01-MURD-20.0,58.30118560590795,74.00992713063683,46.404370436518356,75,59.87525987525988,70,82.8187417989406,2,7.737024626146458
01-PION-0.9,39.93031870838818,71.32778718992591,37.17445715422969,65.625,24.4343891402715,33.33333333333333,47.61726414095681,2,4.256442478693415
01-PLUT_N_T4-1.0,44.4773159022214,43.903318620495,61.00563072646625,59.375,34.61538461538462,53.333333333333336,59.10854401987059,2,5.117925899462833
01-STYB_T5-0.3,38.82405304140666,82.89304949987175,55.546567211220264,68.75,7.912087912087913,56.666666666666664,0,2,4.046847114886389
01-TONA-103.5,69.2360373300019,76.60083782166367,78.03721408018305,81.25,56.80473372781065,100,91.95947568035602,2,9.80876407688876
01-VBUR-0.4,33.944533464004756,67.5964659373314,38.27537300320792,50,19.09814323607427,43.333333333333336,19.308418738086363,2,3.1223633208447694
02-BLBA-0.4,48.068436018063075,47.390758922199794,82.33022546052689,62.5,58.74125874125874,33.33333333333333,52.18347566912276,2,5.798306887158385
02-CASS-25.6,57.59040910107118,56.07964746205322,71.83484792771971,68.75,71.20879120879121,60,75.25957710893411,1,7.602359450716008
02-CASS-33.3,45.984554128639054,51.24437929273796,48.42978400825434,71.875,38.46153846153847,50,61.8811771379426,2,5.403490347351589
02-RAWS-0.8,54.76590492938128,63.50623513998739,54.55606365413585,81.25,63.905325443786985,46.666666666666664,73.47704360109205,1,7.067223093230464
03-BEAG-1.8,23.804155450319914,20.572394128207833,7.280558911593219,31.25,36.12040133779264,26.666666666666668,44.73906710797903,3,1.2011464898839037
03-BEEK-4.5,20.85621628324346,40.348018229526296,31.270764220283574,18.75,29.149797570850204,0,26.47493396204414,2,0.6426238848298564
03-CHMO-8.6,43.53881664580035,10.532615200478766,100,18.75,87.4493927125506,13.333333333333334,74.70637527423976,2,4.940115904130601
03-EMIL_E_T6-0.4,25.59823938551619,28.027315894562,43.15275859749756,25,26.373626373626376,26.666666666666668,29.96730816626072,3,1.5410573144906357
03-FOMI-5.5,2.7358050961188605,6.025635672832026,0,3.125,0,10,0,3,0
03-FOMI_S-0.1,26.09662063902047,47.410318078655884,23.968815444799162,31.25,24.08026755852843,23.333333333333332,32.63361005782645,2,1.6354816496757352
03-GUFF-0.9,45.298064618163195,39.659466033474274,77.12197130545441,46.875,49.45054945054946,36.666666666666664,67.31279887099757,2,5.273426635720288
03-HRTB-2.2,70.06959806475756,80.5670186425247,100,78.125,72.8744939271255,80,78.92067388365267,3,9.96669220452655
03-JEDO_T3-0.4,14.675144928662132,11.348272269876103,1.5706904747544894,6.25,36.923076923076934,16.666666666666664,29.96730816626072,3,0
03-JOHN-13.7,39.57749485564774,100,65.30256868204025,50,19.09814323607427,23.333333333333332,19.308418738086363,3,4.189595747404444
03-MIDL-2.4,20.975214121768694,41.68673643648465,23.863874841931704,40.625,10.650887573964498,30,0,3,0.6651694595524272
03-SAND_T21-4.0,53.40321656183477,80.13278682971445,66.99446262045808,65.625,40.72398190045249,50,70.34628458221836,1,6.809045358282928
03-TELV-12.8,25.193625422304905,42.565692834992646,25.191134966834916,34.375,23.076923076923077,20,31.146627077383698,2,1.4643983225759125
03-YANT_T1c-0.2,25.13157995681076,32.647888598886595,45.00709145348532,25,26.373626373626376,23.333333333333332,23.559119938343713,3,1.452643061338976
04-BLAK_N_T1-1.1,21.538453289487254,22.34969566930859,60.71114402376887,34.375,0,33.33333333333333,0,2,0.7718819082813548
04-BLAK_T16-0.8,51.83953469354292,42.64911230799919,85.295302130938,65.625,57.01357466063348,66.66666666666666,45.62708708856312,3,6.512786982157661
04-BLAK_T7-3.0,51.25092655449191,100,76.6442476866038,71.875,23.076923076923077,50,37.16031511791651,3,6.401268076051869
04-BLCE-5.2,41.5739759566488,49.8377760423795,47.037218765156645,46.875,59.34065934065934,33.33333333333333,54.59384421501282,1,4.5678531544520045
04-JCOX-4.6,0,0,0,0,0,0,0,3,0
04-JCOX_S-3.7,14.5520541840851,0,0,0,69.23076923076924,0,32.63361005782645,3,0
04-MCMI_S-5.0,71.70696902777551,92.42300116783741,54.81517596545512,100,78.26086956521739,100,76.44973649591871,2,10
04-OATK-46.2,55.22114096556775,55.74229470337476,58.52438064617501,71.875,53.846153846153854,63.33333333333333,83.22682422993725,2,7.153473046989686
04-SPRG-10.1,27.19172889827323,50.598083537020635,24.670790110064683,50,19.09814323607427,26.666666666666668,19.308418738086363,3,1.842963108114593
04-WCONI-0.6,29.543434474047018,54.26936693568685,22.284984626592884,43.75,30.76923076923077,30,25.730458986818622,2,2.2885220732284886
04-WDIT-0.1,35.15215556634005,32.76916909239861,55.50703254928702,59.375,25.961538461538463,60,12.452348861156228,3,3.3511618829216303
04-WMRSG-0.2,39.116168969036075,55.56418982287844,30.992591802765872,53.125,36.923076923076934,50,47.20832423453128,1,4.102191998084629
05-CAMB-11.2,54.50324037431947,82.89304949987175,63.012029206282506,78.125,43.7246963562753,43.333333333333336,70.43457422447337,1,7.017458127525973
05-CBRO-1.8,0,0,0,0,0,0,0,3,0
05-STEO-35.7,71.22155717655099,51.05018214777501,97.71028416303254,81.25,85.20710059171599,83.33333333333334,100,2,10
