site_id,SITE_SCORE,dom_5_ttaxa,pct_gatherer,rich_ttaxa,pct_rich_ttaxa_toe,rich_ttaxa_tol_0to7,shannon_ttaxa_toe,condition_class,SITE_SCORE_FINAL
01-FISN-2.4,8.497029642063932,14.87207153027744,1.7671576041574353,15.625,15.384615384615385,3.3333333333333335,0,3,0
01-GILL-0.3,30.22639580263554,18.72942009966911,18.91619600348719,18.75,58.29959514170041,20,46.66316357095654,3,1.5998094319285252
01-GOTC-0.2,36.46630724945973,29.61899062437661,35.412442436658445,40.625,42.60355029585799,33.33333333333333,37.204526806532016,3,2.6131463113672666
01-LSIS-2.4,47.823879857571086,50.969328485433664,31.832746756316656,56.25,53.598014888337474,46.666666666666664,47.62652234867205,2,4.457571073285967
01-MURD-20.0,68.01804987355928,74.00992713063683,46.404370436518356,75,59.87525987525988,70,82.8187417989406,2,7.737024219575693
01-PION-0.9,46.58537182645287,71.32778718992591,37.17445715422969,65.625,24.4343891402715,33.33333333333333,47.61726414095681,2,4.256442279374653
01-PLUT_N_T4-1.0,51.89020188592497,43.903318620495,61.00563072646625,59.375,34.61538461538462,53.333333333333336,59.10854401987059,2,5.1179256488468585
01-STYB_T5-0.3,45.294728548307766,82.89304949987175,55.546567211220264,68.75,7.912087912087913,56.666666666666664,0,2,4.046846928048028
01-TONA-103.5,80.77537688500223,76.60083782166367,78.03721408018305,81.25,56.80473372781065,100,91.95947568035602,2,9.808763546955829
01-VBUR-0.4,39.60195570800555,67.5964659373314,38.27537300320792,50,19.09814323607427,43.333333333333336,19.308418738086363,2,3.1223631890549925
02-BLBA-0.4,56.07984202107358,47.390758922199794,82.33022546052689,62.5,58.74125874125874,33.33333333333333,52.18347566912276,2,5.798306596028979
02-CASS-25.6,67.18881061791637,56.07964746205322,71.83484792771971,68.75,71.20879120879121,60,75.25957710893411,1,7.6023590521639095
02-CASS-33.3,53.64864648341223,51.24437929273796,48.42978400825434,71.875,38.46153846153847,50,61.8811771379426,2,5.403490079731618
02-RAWS-0.8,63.89355575094482,63.50623513998739,54.55606365413585,81.25,63.905325443786985,46.666666666666664,73.47704360109205,1,7.0672227265431715
03-BEAG-1.8,27.7715146920399,20.572394128207833,7.280558911593219,31.25,36.12040133779264,26.666666666666668,44.73906710797903,3,1.201146472493392
