site_id,facultative,intolerant,tolerant,<NA>,,dom_5_ttaxa,pct_gatherer,rich_ttaxa,pct_rich_ttaxa_toe,rich_ttaxa_tol_0to7,shannon_ttaxa_toe,condition_class,SITE_SCORE_FINAL
04-OATK-46.2,135,13,79,0,,55.7422947,58.52438065,71.875,53.84615385,63.33333333,83.22682423,2,7.153473047
04-SPRG-10.1,64,8,177,0,,50.59808354,24.67079011,50,19.09814324,26.66666667,19.30841874,3,1.842963108
04-WCONI-0.6,128,1,85,0,,54.26936694,22.28498463,43.75,30.76923077,30,25.73045899,2,2.288522073
04-WDIT-0.1,189,4,13,0,,32.76916909,55.50703255,59.375,25.96153846,60,12.45234886,3,3.351161883
04-WMRSG-0.2,155,2,44,0,,55.56418982,30.9925918,53.125,36.92307692,50,47.20832423,1,4.102191998
05-CAMB-11.2,67,13,127,3,,82.8930495,63.01202921,78.125,43.72469636,43.33333333,70.43457422,1,7.017458128
05-CBRO-1.8,76,0,138,0,,0,0,0,0,0,0,3,0
05-STEO-35.7,168,17,21,0,,51.05018215,97.71028416,81.25,85.20710059,83.33333333,100,2,10
05-WINI_T2-1.2,107,56,35,1,,43.29005891,32.87393526,31.25,48.16053512,36.66666667,24.05941115,2,2.545556194
06-FABS-5.0,154,20,27,0,,63.45293282,87.00888059,68.75,23.73626374,50,51.7230482,2,6.020033602
06-FLYS-0.7,180,1,43,0,,15.05514234,27.67833692,15.625,30.76923077,16.66666667,32.63361006,2,0.437855268
06-MADB-0.1,166,0,40,0,,5.8287288,15.37935069,6.25,18.46153846,10,0,2,0
06-NING-7.7,166,14,24,16,,100,100,90.625,46.15384615,73.33333333,85.05098492,1,10
07-BLDY-0.1,115,0,87,0,,62.10071636,61.81594259,37.5,44.30769231,23.33333333,50.07366517,3,4.246133545
07-BUTL-3.5,124,1,82,0,,51.70556553,49.66468806,46.875,19.78021978,33.33333333,26.47493396,2,2.857712073
07-CANA-32.8,176,1,26,0,,43.18702408,69.16693988,59.375,51.92307692,46.66666667,56.8333628,2,5.545862728
07-COWA_T10-0.9,49,5,159,0,,46.20325183,35.16709862,53.125,0,40,0,2,1.414054804
07-GEDD-1.4,207,0,10,0,,0,0,0,30.76923077,0,0,3,0
07-HARB-0.5,205,0,8,0,,0,0,0,30.76923077,0,0,3,0
07-HENC_T4-1.2,95,10,100,0,,90.99619039,57.23498655,75,14.96881497,63.33333333,17.73847008,3,5.332575146
07-JACB-1.9,133,8,62,0,,59.78544454,34.06288661,100,36.12040134,96.66666667,82.29023723,3,7.75914668
07-LITR-0.2,141,22,39,0,,66.02556126,66.04928287,84.375,100,80,87.95123129,1,9.801965478
07-MUDE-4.4,150,8,41,0,,46.27806898,84.43984909,87.5,20.26266417,80,51.7230482,2,6.711096576
07-MUSK-0.5,403,0,18,0,,0,26.60681905,0,0,3.333333333,0,2,0
07-NINE-0.7,105,11,86,0,,60.1382939,66.04928287,46.875,0,36.66666667,0,3,2.367695616
07-NORB_T10-1.5,195,12,7,0,,5.181294988,15.62505676,6.25,18.46153846,16.66666667,0,2,0
07-ONON_W_T7-1.5,190,16,26,0,,57.71064199,60.03988603,46.875,89.01098901,53.33333333,84.74268552,3,7.293256772
07-POBK_T4-1.5,175,0,88,0,,0,0,3.125,19.78021978,6.666666667,0,3,0
07-SNDR-1.5,36,0,170,0,,17.37463178,34.05947845,12.5,48.86877828,0,14.78902118,3,0.144565925
07-WBOT-0.3,213,0,110,0,,15.509891,0,50,19.09814324,46.66666667,32.63361006,3,1.127505914
08-BARE_T5-0.5,153,17,45,1,,74.76560942,79.35686645,71.875,46.15384615,63.33333333,82.29023723,1,7.998660714
08-BENE-0.2,74,124,6,0,,57.49287148,53.39076535,53.125,100,56.66666667,94.84961606,1,7.937762927
08-BLAC-2.5,96,32,4,0,,81.6060062,89.97406963,93.75,96.60107335,100,100,1,10
08-MURM-3.4,99,85,17,0,,99.9383692,66.44593913,100,100,100,100,1,10
09-ALLE-1.9,36,1,239,0,,18.67145422,12.14065972,25,26.37362637,16.66666667,29.96730817,2,0.177797717
09-BIBK-5.4,202,9,6,0,,13.17128461,100,15.625,92.30769231,30,81.04421933,1,5.68108791
09-BLCH-0.2,51,6,164,0,,51.28963338,32.10913161,62.5,41.95804196,46.66666667,57.22089402,1,4.587517582
09-BRND-2.5,82,4,127,3,,33.47297028,40.42712145,46.875,69.23076923,43.33333333,53.5726701,2,4.456721013
09-CEDL-0.1,166,3,85,1,,54.57809695,43.88926827,90.625,32.96703297,53.33333333,59.42684682,1,5.753391557
09-CHPW-11.0,159,1,53,0,,13.63440969,37.17445715,9.375,51.92307692,13.33333333,37.93863766,2,1.113177272
09-ENGL-17.6,149,5,59,0,,49.92540521,45.20389131,68.75,31.64835165,43.33333333,65.26722012,1,4.922698525
09-FARR-3.1,175,10,20,0,,70.69229759,49.58744012,40.625,42.6035503,46.66666667,51.12850039,2,4.846243914
