site_id,filterer,gatherer,predator,scraper,shredder,<NA>,,dom_5_ttaxa,pct_gatherer,rich_ttaxa,pct_rich_ttaxa_toe,rich_ttaxa_tol_0to7,shannon_ttaxa_toe,condition_class,SITE_SCORE_FINAL
07-NORB_T10-1.5,29,170,10,2,3,0,,5.181294988,15.62505676,6.25,18.46153846,16.66666667,0,2,0
07-ONON_W_T7-1.5,86,112,15,17,2,0,,57.71064199,60.03988603,46.875,89.01098901,53.33333333,84.74268552,3,7.293256772
07-POBK_T4-1.5,10,244,2,0,7,0,,0,0,3.125,19.78021978,6.666666667,0,3,0
07-SNDR-1.5,26,137,43,0,0,0,,17.37463178,34.05947845,12.5,48.86877828,0,14.78902118,3,0.144565925
07-WBOT-0.3,14,292,9,5,3,0,,15.509891,0,50,19.09814324,46.66666667,32.63361006,3,1.127505914
08-BARE_T5-0.5,70,75,14,6,47,4,,74.76560942,79.35686645,71.875,46.15384615,63.33333333,82.29023723,1,7.998660714
08-BENE-0.2,22,108,22,32,20,0,,57.49287148,53.39076535,53.125,100,56.66666667,94.84961606,1,7.937762927
08-BLAC-2.5,21,36,35,6,34,0,,81.6060062,89.97406963,93.75,96.60107335,100,100,1,10
08-MURM-3.4,53,88,11,13,36,0,,99.9383692,66.44593913,100,100,100,100,1,10
09-ALLE-1.9,17,226,31,0,2,0,,18.67145422,12.14065972,25,26.37362637,16.66666667,29.96730817,2,0.177797717
09-BIBK-5.4,16,10,15,170,6,0,,13.17128461,100,15.625,92.30769231,30,81.04421933,1,5.68108791
09-BLCH-0.2,21,150,37,7,6,0,,51.28963338,32.10913161,62.5,41.95804196,46.66666667,57.22089402,1,4.587517582
09-BRND-2.5,0,134,67,0,12,3,,33.47297028,40.42712145,46.875,69.23076923,43.33333333,53.5726701,2,4.456721013
09-CEDL-0.1,71,152,25,1,5,1,,54.57809695,43.88926827,90.625,32.96703297,53.33333333,59.42684682,1,5.753391557
09-CHPW-11.0,6,137,22,48,0,0,,13.63440969,37.17445715,9.375,51.92307692,13.33333333,37.93863766,2,1.113177272
09-ENGL-17.6,47,125,26,7,8,0,,49.92540521,45.20389131,68.75,31.64835165,43.33333333,65.26722012,1,4.922698525
09-FARR-3.1,60,114,23,3,5,0,,70.69229759,49.58744012,40.625,42.6035503,46.66666667,51.12850039,2,4.846243914
09-FSCR-9.2,27,73,100,1,24,4,,51.69302172,83.41090769,43.75,41.02564103,23.33333333,44.04508811,2,4.466089302
09-JEWT-3.1,39,88,46,22,9,0,,55.54968846,67.36355518,46.875,59.34065934,26.66666667,41.33453122,2,4.733287878
09-LSAL_T1-1.0,34,145,28,0,0,0,,0,29.00925962,3.125,59.34065934,10,48.95041509,3,0.76257556
09-LSUK-11.3,43,117,20,5,17,0,,74.85646231,46.29369487,56.25,0,36.66666667,0,1,2.4850966
09-LTTL-13.2,11,62,101,2,6,0,,62.56436562,80.29222445,28.125,75.52447552,16.66666667,74.65864181,2,5.834908843
09-MARA-4.5,19,115,65,4,8,1,,40.86582433,51.53212067,46.875,98.9010989,40,46.68472793,1,5.483792294
09-OTTS-0.2,3,163,41,0,10,0,,1.297272253,21.78779186,9.375,34.61538462,13.33333333,32.63361006,2,0
09-PIKC-8.7,8,138,39,5,12,2,,55.54968846,32.43158061,65.625,100,70,67.8515075,2,7.286361455
09-PLMB-12.4,33,31,31,89,18,0,,88.59341949,100,100,100,100,100,1,10
09-SCKE-16.4,55,72,14,84,3,3,,46.85583716,84.42124666,31.25,0,23.33333333,0,2,1.721661785
09-SOAP-0.8,4,16,13,2,9,0,,83.10755672,77.0174827,21.875,0,6.666666667,0,2,1.797616822
09-TRAY-2.9,50,177,15,9,73,2,,55.38874999,51.46200602,81.25,92.30769231,70,85.28647203,2,8.48368432
09-WHIK-0.8,32,124,16,2,27,0,,23.02312495,40.91952906,34.375,69.23076923,46.66666667,65.23556002,2,4.254775726
09-WSCK-3.4,51,99,13,2,34,1,,56.89048474,58.29521458,62.5,50.34965035,66.66666667,69.85478162,3,6.558259366
10-ARNO-0.1,92,43,25,15,26,2,,75.40748733,98.65434462,84.375,55.38461538,83.33333333,89.79559327,2,9.870964811
10-BISH-0.6,40,68,88,0,14,3,,72.25832554,83.34370355,56.25,44.66501241,36.66666667,43.6391299,1,5.8076118
10-CMIL-3.3,18,30,2,2,0,3,,49.7731353,51.10430883,6.25,92.30769231,6.666666667,64.86822109,2,4.025239047
10-COLW-0.7,26,60,18,7,5,5,,100,58.17153807,68.75,39.56043956,63.33333333,69.44710516,1,7.497601887
10-LGLN-0.5,119,44,23,6,12,0,,84.69743373,98.10369281,93.75,90.16100179,100,100,2,10
10-LSAR_T10-0.3,70,106,22,0,2,0,,13.28545781,53.30692861,28.125,37.76223776,23.33333333,49.66600798,1,2.252657561
10-MILC-6.3,36,89,30,13,33,5,,100,67.26859447,100,89.01098901,100,100,1,10
10-NSAR_T7-0.8,95,57,23,4,24,0,,57.8326892,88.82520971,68.75,63.2967033,53.33333333,80.30821195,1,7.851726258
10-PUTM_T5-0.3,94,72,26,10,2,7,,85.26381172,80.21057522,100,57.69230769,100,100,1,10
10-ROUT-1.3,110,55,16,24,0,0,,36.85247624,90.60609827,28.125,100,40,70.34953943,2,6.595510745
10-TRAE-4.5,80,37,57,21,15,0,,100,100,100,64.81178396,100,90.99720489,1,10
10-TWOB-3.6,118,25,15,7,31,7,,51.97442315,100,65.625,65.15837104,63.33333333,83.54298604,1,8.319642478
10-URIL-0.4,102,62,28,2,27,0,,81.7826592,88.86015492,68.75,71.20879121,70,90.74229087,2,9.448559767
11-GORN-6.0,12,172,15,6,10,0,,60.41668406,14.82586542,68.75,15.82417582,46.66666667,32.63361006,1,3.16310491
11-MOSE-12.8,33,60,117,2,4,0,,35.30819868,89.25425925,59.375,43.26923077,40,66.76319835,2,5.730393806
11-ROWL-0.5,133,53,12,11,6,0,,65.94797712,93.71038773,90.625,65.93406593,93.33333333,85.52968392,2,10
11-SRUN-3.8,20,145,1,2,1,1,,22.32125884,7.280558912,15.625,15.38461538,0,0,3,0
11-TEET-0.8,65,54,56,0,20,8,,97.86417384,90.93145291,71.875,69.23076923,46.66666667,88.74039718,1,9.285204601
11-TOMH-12.2,10,172,28,2,1,0,,15.49548638,13.7552742,18.75,72.87449393,6.666666667,57.18359917,1,1.690944659
12-ALPL_T11-2.1,38,148,46,10,5,0,,51.90327012,43.44575947,90.625,52.74725275,80,90.45718113,2,7.765989699
12-BARK-0.6,37,103,25,29,10,0,,100,56.88396281,78.125,65.58704453,80,78.55296404,2,9.118491841
13-BASC_T17-2.4,49,115,33,5,10,0,,59.5643779,51.53212067,65.625,48.86877828,66.66666667,69.34642137,1,6.478321725
13-BLKH-8.2,57,93,46,0,3,2,,49.64763257,62.9006044,50,66.84350133,33.33333333,75.62549487,2,5.848961309
13-BLKK-1.1,1,174,18,8,11,0,,19.36248772,11.86785218,34.375,57.69230769,33.33333333,65.3267055,2,2.698670745
