metric,disturbance,barbour,de_thresh,de,bde_thresh,bde
shannon_ttaxa_toe,decrease,3,1.7418257899114553,86.66666666666667,1.6076925889654239,85.26881720430109
rich_ttaxa_ept,decrease,3,4,80,3.56,78.70967741935485
rich_ttaxa_intol_facul,decrease,2,18,73.33333333333333,18.04,73.76344086021504
dom_5_ttaxa,increase,2,67.49622926093514,63.33333333333333,66.04595766319048,67.2043010752688
rich_ttaxa_gatherer,decrease,1,11,56.666666666666664,11.56,63.87096774193548
