metric,disturbance,barbour,de_thresh,de,bde_thresh,bde
shannon_ttaxa_toe,decrease,3,1.6748770690136523,90,1.3977281865898394,86.88172043010752
rich_ttaxa_ept,decrease,3,3,86.66666666666667,2.56,85.26881720430109
rich_ttaxa_intol_facul,decrease,3,17.5,80,16.8,80.26881720430109
dom_5_ttaxa,increase,3,68.66993818112294,76.66666666666667,68.35082735291641,75.43010752688173
rich_ttaxa_gatherer,decrease,1,9,53.333333333333336,10.56,63.924731182795696
