site_id,SITE_SCORE,rich_ttaxa_coe,rich_ttaxa_insecta,pct_gatherer,rich_genus,shannon_ttaxa_shredder,condition_class
01-FISN-2.4,0.9993468486867805,-0.6744907594765953,-0.8993210126354604,-1.478258914519538,-1.3336521835105406,0.3850697188289146,3
01-GILL-0.3,0.35137333199634657,-0.9090962410336719,-0.8093889113719143,-0.9611493322541482,-1.3336521835105406,-0.6353399998333785,3
01-GOTC-0.2,3.703927697495748,-0.43988527791951865,-0.2697963037906381,-0.44403974998875856,-0.5978440822633457,0.4554931114580092,3
01-LSIS-2.4,5.208135802525879,0.7331421298658645,-0.2697963037906381,-0.376590674041099,0.015329335442649892,0.10605131504910222,2
01-MURD-20.0,8.7523946273567,1.9061695376512475,0.6295247088448223,-0.06182831961868758,0.7511374366898447,0.5273912637894747,2
01-PION-0.9,6.105931561839179,-0.43988527791951865,0.2697963037906381,-0.3990736993569855,0.3832333860662473,1.2918608492587975,2
01-PLUT_N_T4-1.0,4.575391472067243,0.2639311667517112,-0.2697963037906381,0.36534916138315576,-0.10730534809854925,-0.6767872041784369,2
01-STYB_T5-0.3,5.819478569088158,-0.9090962410336719,0.6295247088448223,0.2304510094878367,0.6285027531486456,0.24009633864052515,2
01-TONA-103.5,8.424389324094768,0.4985366483087878,1.0791852151625525,0.949907819596205,0.5058680696074465,0.39089157141977643,2
01-VBUR-0.4,3.050657062624468,-1.1437017225907484,-0.08993210126354603,-0.3091415980934395,-0.22994003163974838,-0.17662748378804966,2
02-BLBA-0.4,6.627054637382638,0.4985366483087878,0.08993210126354603,1.039839920859751,-0.10730534809854925,0.10605131504910222,2
02-CASS-25.6,8.15875938793518,1.4369585745370943,0,0.7475605917532264,0.26059870252504813,0.7136415191198119,1
02-CASS-33.3,6.7088710876122715,0.9677476114229411,0.35972840505418413,-0.03934529430280107,0.7511374366898447,-0.33039707125189754,2
02-RAWS-0.8,8.592512339512972,1.2023530929800177,0.08993210126354603,0.11803588290840417,0.8737721202310438,1.308419142129959,1
03-BEAG-1.8,1.2654337599729102,-0.6744907594765953,-0.7194568101083683,-1.3208777373083325,-0.8431134493457441,-0.17662748378804966,3
03-BEEK-4.5,0.3604234258142709,-0.6744907594765953,-0.8993210126354604,-0.5547254130823539,-1.2110174999693415,-1.3000218890219781,2
03-CHMO-8.6,2.75122554564706,-0.20527979636244204,-1.0791852151625525,1.6693646297045732,-1.3336521835105406,-1.3000218890219781,2
03-EMIL_E_T6-0.4,0.8406127223602615,-0.43988527791951865,-0.9892531138990064,-0.21920949682989346,-1.2110174999693415,-1.3000218890219781,3
03-FOMI-5.5,0,-1.1437017225907484,-1.4389136202167365,-1.65812311704663,-1.9468256012165361,-0.26841348669554055,3
