BAS_LOC_RM,site_id,pct_natural+wetland,site_condition
01-BLKE-0.1,01_BLKE_0d1,52.45284772,test
01-FISN-2.4,01_FISN_2d4,65.27986862,test
01-GILL-0.3,01_GILL_0d3,26.96436239,test
01-GOTC-0.2,01_GOTC_0d2,37.71716436,test
01-LSIS-2.0,01_LSIS_2d0,64.99240559,test
01-MURD-20.0,01_MURD_20d0,42.21385025,test
01-PION-0.9,01_PION_0d9,40.9221902,test
01-PLUT_N_T4-1.0,01_PLUT_N_T4_1d0_updated,41.88024984,test
01-STYB_T5-0.3,01_STYB_T5_0d3,48.02300503,test
01-TONA-103.5,01_TONA_103d5,43.85558132,test
03-BEAG-1.8,03_BEAG_1d8,39.26078272,test
03-CHMO-8.6,03_CHMO_8d6,44.57132366,test
03-EMIL_E_T6-0.4,03_EMIL_E_T6_0d4,31.39534884,test
03-FOMI-5.5,03_FOMI_5d5,41.85155305,test
03-FOMI_S-0.1,03_FOMI_S_0d1,51.21486697,test
03-GUFF-1.8,03_GUFF_1d8,39.11541889,test
03-HRTB-2.2,03_HRTB_2d2,27.67107962,test
03-JEDO_T3-0.4,03_JEDO_T3_0d4,17.1957672,test
03-JOHN-13.7,03_JOHN_13d7,36.41820256,test
03-LSAM_N-7.9,03_LSAM_N_7d9,94.47531873,ref
03-MIDL-2.4,03_MIDL_2d4,28.4602688,test
03-SAND_T21-4.0,03_SAND_T21_4d0,94.55201838,ref
03-TELV-12.8,03_TELV_12d8,49.14694551,test
03-YANT_T1c-0.2,03_YANT_T1c_0d2,33.81321983,test
04-BLAK_T7-3.0,04_BLAK_T7_3d0,38.71883235,test
04-JCOX-4.6,04_JCOX_4d6,18.70364648,test
04-OATK-46.2,04_OATK_46d2,42.02580163,test
04-SPRG-10.1,04_SPRG_10d1,16.99450145,test
05-CAMB-11.2,05_CAMB_11d2,53.96825397,test
05-WINI_T2-1.2,05_WINI_T2_1d2,83.5477707,ref
06-FABS-5.0,06_FABS_5d0,35.45232274,test
06-FLYS-0.7,06_FLYS_0d7,42.6509546,test
06-MADB-0.1,06_MADB_0d1,66.79406588,test
06-NING-7.7,06_NING_7d7,88.73177198,ref
07-BUTL-3.5,07_BUTL_3d5,42.64479095,test
07-HARB-0.5,07_HARB_0d5,32.6882092,test
07-MUDE-4.4,07_MUDE_4d4,33.74029022,test
07-MUSK-0.5,07_MUSK_0d5,33.8832875,test
07-ONON_W_T7-1.5,07_ONON_W_T7_1d5,6.401766004,test
07-POBK_T4-1.5,07_POBK_T4_1d5,5.744125326,test
07-WBOT-0.3,07_WBOT_0d3,43.23653085,test
08-BARE_T5-0.5,08_BARE_T5_0d5,92.20360825,ref
08-BLAC-2.5,08_BLAC_2d5,88.91706473,ref
09-ALLE-1.9,09_ALLE_1d9,74.65056963,test
09-BLCH-0.2,09_BLCH_0d2,97.591874,ref
09-BRND-2.5,09_BRND_2d5,72.60283638,test
09-CEDL-0.1,09_CEDL_0d1,89.33936124,ref
