site_id,tot,target,missed,over,under
01-FISN-2.4,203,200,3,3,0
01-GILL-0.3,223,200,23,23,0
01-GOTC-0.2,270,200,70,70,0
01-LSIS-2.4,238,200,38,38,0
01-MURD-20.0,204,200,4,4,0
01-PION-0.9,213,200,13,13,0
01-PLUT_N_T4-1.0,229,200,29,29,0
01-STYB_T5-0.3,210,200,10,10,0
01-TONA-103.5,216,200,16,16,0
01-VBUR-0.4,203,200,3,3,0
02-BLBA-0.4,239,200,39,39,0
02-CASS-25.6,220,200,20,20,0
02-CASS-33.3,218,200,18,18,0
02-RAWS-0.8,259,200,59,59,0
03-BEAG-1.8,204,200,4,4,0
03-BEEK-4.5,130,200,-70,0,-70
03-CHMO-8.6,252,200,52,52,0
03-EMIL_E_T6-0.4,321,200,121,121,0
03-FOMI-5.5,215,200,15,15,0
03-FOMI_S-0.1,212,200,12,12,0
03-GUFF-0.9,248,200,48,48,0
03-HRTB-2.2,211,200,11,11,0
03-JEDO_T3-0.4,243,200,43,43,0
03-JOHN-13.7,240,200,40,40,0
03-MIDL-2.4,205,200,5,5,0
03-SAND_T21-4.0,212,200,12,12,0
03-TELV-12.8,231,200,31,31,0
03-YANT_T1c-0.2,238,200,38,38,0
04-BLAK_N_T1-1.1,205,200,5,5,0
04-BLAK_T16-0.8,216,200,16,16,0
04-BLAK_T7-3.0,243,200,43,43,0
04-BLCE-5.2,223,200,23,23,0
04-JCOX-4.6,392,200,192,192,0
04-JCOX_S-3.7,200,200,0,0,0
04-MCMI_S-5.0,206,200,6,6,0
04-OATK-46.2,227,200,27,27,0
04-SPRG-10.1,249,200,49,49,0
04-WCONI-0.6,214,200,14,14,0
04-WDIT-0.1,206,200,6,6,0
04-WMRSG-0.2,201,200,1,1,0
05-CAMB-11.2,210,200,10,10,0
05-CBRO-1.8,214,200,14,14,0
05-STEO-35.7,206,200,6,6,0
05-WINI_T2-1.2,199,200,-1,0,-1
06-FABS-5.0,201,200,1,1,0
06-FLYS-0.7,224,200,24,24,0
06-MADB-0.1,206,200,6,6,0
06-NING-7.7,220,200,20,20,0
07-BLDY-0.1,202,200,2,2,0
07-BUTL-3.5,207,200,7,7,0
07-CANA-32.8,203,200,3,3,0
07-COWA_T10-0.9,213,200,13,13,0
07-GEDD-1.4,217,200,17,17,0
07-HARB-0.5,213,200,13,13,0
07-HENC_T4-1.2,205,200,5,5,0
07-JACB-1.9,203,200,3,3,0
07-LITR-0.2,202,200,2,2,0
07-MUDE-4.4,199,200,-1,0,-1
07-MUSK-0.5,421,200,221,221,0
07-NINE-0.7,202,200,2,2,0
07-NORB_T10-1.5,214,200,14,14,0
07-ONON_W_T7-1.5,232,200,32,32,0
07-POBK_T4-1.5,263,200,63,63,0
07-SNDR-1.5,206,200,6,6,0
07-WBOT-0.3,323,200,123,123,0
08-BARE_T5-0.5,216,200,16,16,0
08-BENE-0.2,204,200,4,4,0
08-BLAC-2.5,132,200,-68,0,-68
08-MURM-3.4,201,200,1,1,0
09-ALLE-1.9,276,200,76,76,0
09-BIBK-5.4,217,200,17,17,0
09-BLCH-0.2,221,200,21,21,0
09-BRND-2.5,216,200,16,16,0
09-CEDL-0.1,255,200,55,55,0
09-CHPW-11.0,213,200,13,13,0
09-ENGL-17.6,213,200,13,13,0
09-FARR-3.1,205,200,5,5,0
09-FSCR-9.2,229,200,29,29,0
09-JEWT-3.1,204,200,4,4,0
09-LSAL_T1-1.0,207,200,7,7,0
09-LSUK-11.3,202,200,2,2,0
09-LTTL-13.2,182,200,-18,0,-18
09-MARA-4.5,212,200,12,12,0
09-OTTS-0.2,217,200,17,17,0
09-PIKC-8.7,204,200,4,4,0
09-PLMB-12.4,202,200,2,2,0
09-SCKE-16.4,231,200,31,31,0
09-SOAP-0.8,44,200,-156,0,-156
09-TRAY-2.9,326,200,126,126,0
09-WHIK-0.8,201,200,1,1,0
09-WSCK-3.4,200,200,0,0,0
10-ARNO-0.1,203,200,3,3,0
10-BISH-0.6,213,200,13,13,0
10-CMIL-3.3,55,200,-145,0,-145
10-COLW-0.7,121,200,-79,0,-79
10-LGLN-0.5,204,200,4,4,0
10-LSAR_T10-0.3,200,200,0,0,0
10-MILC-6.3,206,200,6,6,0
10-NSAR_T7-0.8,203,200,3,3,0
10-PUTM_T5-0.3,211,200,11,11,0
10-ROUT-1.3,205,200,5,5,0
10-TRAE-4.5,210,200,10,10,0
10-TWOB-3.6,203,200,3,3,0
10-URIL-0.4,221,200,21,21,0
11-GORN-6.0,215,200,15,15,0
11-MOSE-12.8,216,200,16,16,0
11-ROWL-0.5,215,200,15,15,0
11-SRUN-3.8,170,200,-30,0,-30
11-TEET-0.8,203,200,3,3,0
11-TOMH-12.2,213,200,13,13,0
12-ALPL_T11-2.1,247,200,47,47,0
12-BARK-0.6,204,200,4,4,0
13-BASC_T17-2.4,212,200,12,12,0
13-BLKH-8.2,201,200,1,1,0
13-BLKK-1.1,212,200,12,12,0
13-EBCR-16.3,202,200,2,2,0
13-FISH-16.3,96,200,-104,0,-104
13-NOST-0.3,217,200,17,17,0
13-QKER-0.9,139,200,-61,0,-61
13-QKER-1.0,210,200,10,10,0
13-RHIN-4.3,228,200,28,28,0
13-RIOG-0.7,201,200,1,1,0
13-SPRO-9.2,181,200,-19,0,-19
13-WALK_T25-1.5,292,200,92,92,0
13-WBLKK-8.9,238,200,38,38,0
13-WKLEI-0.6,53,200,-147,0,-147
14-HURL-2.8,217,200,17,17,0
14-TENR-3.7,207,200,7,7,0
14-WLAK-5.8,316,200,116,116,0
15-HACK-3.3,206,200,6,6,0
15-MAWA-3.7,202,200,2,2,0
15-RAMA-13.7,225,200,25,25,0
16-AMEN_T2-1.1,287,200,87,87,0
16-BOGH-0.3,201,200,1,1,0
16-SWEL-0.1,213,200,13,13,0
16-SWMP-6.8,201,200,1,1,0
16-WEBA-23.3,201,200,1,1,0
16-WEBA_T4-1.3,204,200,4,4,0
17-BRWN-0.9,331,200,131,131,0
17-BVDC-0.4,317,200,117,117,0
17-CARL-0.8,203,200,3,3,0
17-CARM-12.9,242,200,42,42,0
17-CARM-9.0,216,200,16,16,0
17-EMED-0.4,45,200,-155,0,-155
17-GREN-0.8,219,200,19,19,0
17-MASS-1.2,382,200,182,182,0
17-MBUR-2.1,220,200,20,20,0
17-MIAN-14.2,220,200,20,20,0
17-MUDL-1.4,236,200,36,36,0
