"site_id","sample_date","sys_sample_code","sample_source","sample_matrix_code","dec_sample_type_cde","lab_sample_type_cde","sample_type_code_combined","chemical_name","fraction","result_value","result_unit","lab_qualifiers","interpreted_qualifiers","validator_qualifiers","validator_qual_expln","validator_qualifiers_equis","method_detection_limit","reporting_detection_limit","quantitation_limit","detection_limit_unit","event_id"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","nitrogen, ammonia (as n)","TOTAL",0.0268,"mg/l","","","","","",8e-04,NA,0.005,"mg/l","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","chloride (as cl)","TOTAL",15.7,"mg/l","","","","","",0.2,NA,2,"mg/l","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","conductivity at 25 degrees celsius","TOTAL",471,"umhos/cm","","","","","",NA,NA,NA,"umhos/cm","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","hardness (as caco3)","TOTAL",220,"mg/l","","","","","",NA,NA,6.62,"mg/l","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","nitrogen, nitrate (as n)","TOTAL",1.36,"mg/l","","","","","",NA,NA,0.01,"mg/l","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","nitrate+nitrite as nitrogen","TOTAL",1.36,"mg/l","","","","","",0.0025,NA,0.0025,"mg/l","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","nitrogen, nitrite","TOTAL",NA,"mg/l","U","U","","","",0.002,0.002,0.01,"mg/l","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","ph","TOTAL",7.93,"pH units","H","H","","","",NA,NA,NA,"pH units","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","phosphorus, total (as p)","TOTAL",0.026,"mg/l","","","","","",0.002,NA,0.003,"mg/l","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","temperature of ph analysis","TOTAL",22.1,"deg c","H","H","","","",NA,NA,NA,"deg c","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","turbidity","TOTAL",10.6,"ntu","","","","","",0.06,NA,0.1,"ntu","13-NOST-0.3_2017-07-24"
"13-NOST-0.3","2017-07-24","13NOST-0.3_07242017_WS","field","WS","N","N","","aluminum","TOTAL",437,"ug/l","","","","","",13.5,NA,50,"ug/l","13-NOST-0.3_2017-07-24"
