SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_TYPE_DPRTMNT_INTRST_IND,SITE_TYPE_EXTRNL_SUGG_IND,SITE_TYPE_LNG_TRM_TRND_IND,SITE_TYPE_MLTPLT_IND,SITE_TYPE_PROBABILISTIC_IND,SITE_TYPE_RAS_IND,SITE_TYPE_REFERENCE_IND,SITE_TYPE_RMN_IND,SITE_TYPE_SPCL_STDY_IND,SITE_TYPE_UNASSD_PWL_IND,EVENT_BASELINE,EVENT_EXTENT,DISCH_COLLECT_IND,TOTAL_DISCH,SEI_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_TYPE,SEIH_WATER_CHEM_COLLECT_IND,SEIH_CHEM_QAQC_IND,SEIH_CHEM_QAQC_TYPE,SEIH_CHEM_SAMP_LOC,SEIH_CHEM_SAMP_EQUP,SEIH_MICROTOX_IND,SEIH_ORG_FOR_TOXICS_IND,SEIH_DEPTH,SEIH_DEPTH_QLFR,SEIH_WIDTH,SEIH_WIDTH_QLFR,SEIH_SPEED_OF_STREAM_CURRENT,SEIH_SPD_OF_STRM_CURRENT_QLFR,SEIH_SECCHI,SEIH_SECCHI_QLFR,SEIH_ALGAE_DIATOMS_PRESENT,SEIH_THICKNESS_DIATOMS_PRESENT,SEIH_ALGAE_SUSPENDED_IND,SEIH_ALGAE_FILAMENTOUS_IND,MFDH_MACROPHYTES,SEIH_CANOPY,SEIH_EMBEDDEDNESS,SEIH_EMBEDDEDNESS_QLFR,SEIH_ROCK,SEIH_RUBBLE,SEIH_GRAVEL,SEIH_SAND,SEIH_SILT,SEIH_CLAY,SEIH_LAND_USE,SEIH_YSI_METER_ID,SEIH_TEMPERATURE,SEIH_CONDUCTANCE,SEIH_DISSOLVED_OXYGEN,SEIH_PH,SEIH_PCT_SATURATION,SEIH_SALINITY,SEIH_Chl_ugL,SEIH_Chl_RFU,SEIH_PC_ugL,SEIH_PC_RFU,SEIH_GENERAL_COMMENT,CHEM_RESULT_RCVD_IND,CHEM_RESULT_RCVD_NOTE,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
8135,07-FSHO_E-11.6_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.25,,20,,75,,0,,100,1,FALSE,TRUE,0,28,30,,40,50,8,2,,,Forest,,17.2,62,10.2,8,107,0.04,,,,,,,,,,,
8136,07-GLON-2.0_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,4,,43,,0,,100,1,FALSE,TRUE,0,46,50,,10,30,50,5,5,,Residential,,19.100000000000001,265,9.8,8.3,106,0.1,,,,,,,,,,,
8137,07-GNAR-22.2_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,15,,35,,0,,100,2,FALSE,FALSE,0,73,50,,10,40,35,15,0,0,Residential,,22.5,1286,13.7,8.4,160,0.64,,,,,,,,,,,
8138,07-GRIM-5.7_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,1,,4,,67,,0,,50,1,FALSE,FALSE,0,81,50,,5,60,20,0,15,0,Forest,,18.600000000000001,317,10.1,8.4,108,0.2,,,,,,,,,,,
8139,07-JACB-1.9_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,TRUE,FALSE,0.2,,3,,4,,0,,30,1,TRUE,FALSE,10,1,75,,0,10,10,30,40,10,Agriculture,,18,730,8.1,8.1,85,0.4,,,,,,,,,,,
8140,07-KDIG-10.4_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,TRUE,FALSE,0.1,,0.5,,4,,0,,10,1,FALSE,TRUE,30,7.5,20,,0,20,10,10,40,20,Forest,,23,503,7.6,8.4,88,0.2,,,,,,,,,,,
8141,07-KEUK-0.3_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.3,,15,,114,,0,,40,1,FALSE,TRUE,0,50,50,,0,60,30,5,5,0,Commercial,,25,382,9.3,8.6,111,0.2,,,,,,,,,,,
8142,07-KNDA-1.4_20160712,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,,,,,,,0,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8143,07-LITR-0.2_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,TRUE,FALSE,0.6,,8,,20,,0,,90,1,FALSE,TRUE,30,36,30,,,,,,,,Forest,,21.8,119,8.3,7.6,96,0.05,,,,,,,,,,,
8144,07-MITH-3.5_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.2,,2,,0,,0,,100,2,TRUE,TRUE,0,20,50,,15,40,40,,5,,Residential,,17.600000000000001,187,7.9,7.5,83,0.1,,,,,,,,,,,
