SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_TYPE_DPRTMNT_INTRST_IND,SITE_TYPE_EXTRNL_SUGG_IND,SITE_TYPE_LNG_TRM_TRND_IND,SITE_TYPE_MLTPLT_IND,SITE_TYPE_PROBABILISTIC_IND,SITE_TYPE_RAS_IND,SITE_TYPE_REFERENCE_IND,SITE_TYPE_RMN_IND,SITE_TYPE_SPCL_STDY_IND,SITE_TYPE_UNASSD_PWL_IND,EVENT_BASELINE,EVENT_EXTENT,DISCH_COLLECT_IND,TOTAL_DISCH,SEI_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_TYPE,SEIH_WATER_CHEM_COLLECT_IND,SEIH_CHEM_QAQC_IND,SEIH_CHEM_QAQC_TYPE,SEIH_CHEM_SAMP_LOC,SEIH_CHEM_SAMP_EQUP,SEIH_MICROTOX_IND,SEIH_ORG_FOR_TOXICS_IND,SEIH_DEPTH,SEIH_DEPTH_QLFR,SEIH_WIDTH,SEIH_WIDTH_QLFR,SEIH_SPEED_OF_STREAM_CURRENT,SEIH_SPD_OF_STRM_CURRENT_QLFR,SEIH_SECCHI,SEIH_SECCHI_QLFR,SEIH_ALGAE_DIATOMS_PRESENT,SEIH_THICKNESS_DIATOMS_PRESENT,SEIH_ALGAE_SUSPENDED_IND,SEIH_ALGAE_FILAMENTOUS_IND,MFDH_MACROPHYTES,SEIH_CANOPY,SEIH_EMBEDDEDNESS,SEIH_EMBEDDEDNESS_QLFR,SEIH_ROCK,SEIH_RUBBLE,SEIH_GRAVEL,SEIH_SAND,SEIH_SILT,SEIH_CLAY,SEIH_LAND_USE,SEIH_YSI_METER_ID,SEIH_TEMPERATURE,SEIH_CONDUCTANCE,SEIH_DISSOLVED_OXYGEN,SEIH_PH,SEIH_PCT_SATURATION,SEIH_SALINITY,SEIH_Chl_ugL,SEIH_Chl_RFU,SEIH_PC_ugL,SEIH_PC_RFU,SEIH_GENERAL_COMMENT,CHEM_RESULT_RCVD_IND,CHEM_RESULT_RCVD_NOTE,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
1,14-WDEL-1.3_19740604,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.3,,100,,,,1.3,,0,,FALSE,FALSE,0,,,,,70,,,30,,,,20.5,55,,,,,,,,,,,,,,,
2,14-WDEL-9.5_19740604,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.1,,73,,1,,1.1,,0,,FALSE,FALSE,0,,,,,,,,,,,,21,55,,,,,,,,,,,,,,,
3,14-WDEL-16.2_19740604,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.2,,,,0.2,,1.6,,0,,FALSE,FALSE,0,,,,,20,,,40,,,,20.2,50,,,,,,,,,,,,,,,
4,14-DELA-31.2_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,137,,0,,,,0,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14-DELA-36.5_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,137,,,,2,,0,,FALSE,FALSE,0,,,,,,,,,,,,21.2,53,,,,,,,,,,,,,,,
6,14-DELA-45.2_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,,,1.2,,2,,0,,FALSE,FALSE,0,,,,,,,,,,,,21.5,50,,,,,,,,,,,,,,,
7,14-DELA-50.4_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,137,,1.3,,2,,0,,FALSE,FALSE,,,,,,,,,,,,,21.5,50,,,,,,,,,,,,,,,
8,14-DELA-59.2_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.6,,110,,1.5,,1.6,,0,,FALSE,FALSE,0,,,,,,,,,,,,20.8,50,,,,,,,,,,,,,,,
9,14-DELA-70.1_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.8,,100,,7,,1.8,,0,,FALSE,FALSE,0,,,,,60,,,20,,,,19,48,,,,,,,,,,,,,,,
10,14-EDEL-0.8_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.5,,91,,0.2,,2.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,16.5,45,,,,,,,,,,,,,,,
11,14-DELA-1.8_19740606,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,69,,0.6,,2,,0,,FALSE,FALSE,0,,,,,,,,,,,,19.5,90,,,,,,,,,,,,,,,
12,14-DELA-3.2_19740606,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,183,,1.2,,2,,0,,FALSE,FALSE,0,,,,,,,,,,,,21,110,,,,,,,,,,,,,,,
13,14-DELA-11.6_19740606,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,137,,2,,2,,0,,FALSE,FALSE,0,,,,,,,,,,,,19,65,,,,,,,,,,,,,,,
14,14-DELA-24.2_19740606,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.5,,137,,1.2,,2.5,,0,,FALSE,FALSE,0,,,,,50,,10,20,,,,19,48,,,,,,,,,,,,,,,
15,14-EDEL-0.8_19740709,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,110,,15,,2.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14-WDEL-1.3_19740709,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1,,100,,,,,,0,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14-WDEL-9.5_19740709,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,55,,15,,,,0,,FALSE,FALSE,,,,,80,,,,15,,,,,,,,,,,,,,,,,,,,
18,14-WDEL-16.2_19740709,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.2,,55,,15,,,,0,,FALSE,FALSE,0,,,,,80,,,15,,,,,,,,,,,,,,,,,,,,
19,14-DELA-31.2_19740710,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,,,,,,,0,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14-DELA-36.5_19740710,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,137,,,,2,,0,,FALSE,TRUE,,,,,,60,,30,,,,,28.5,95,,,,,,,,,,,,,,,
21,14-DELA-45.2_19740710,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.6,,110,,15,,1.6,,0,,FALSE,FALSE,,,,,,60,,20,10,,,,27,110,,,,,,,,,,,,,,,
22,14-DELA-50.4_19740710,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.9,,137,,30.5,,1.9,,,,FALSE,FALSE,,,,,,,,,,,,,26,145,,,,,,,,,,,,,,,
23,14-DELA-59.2_19740710,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.4,,,,15,,1.4,,0,,FALSE,TRUE,,,,,,,,,,,,,27.5,95,,,,,,,,,,,,,,,
24,14-DELA-70.1_19740710,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.5,,,,,,2.5,,0,,FALSE,FALSE,,,,,40,40,,,15,,,,25,70,,,,,,,,,,,,,,,
25,14-DELA-1.8_19740711,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.1,,,,15,,2.1,,0,,FALSE,FALSE,0,,,,,,,,,,,,23.5,60,,,,,,,,,,,,,,,
26,14-DELA-3.2_19740711,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.2,,137,,,,2.2,,0,,FALSE,FALSE,0,,,,,,,,,,,,25,100,,,,,,,,,,,,,,,
27,14-DELA-11.6_19740711,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,137,,30.5,,2,,0,,FALSE,FALSE,0,,,,,,,,,,,,23,60,,,,,,,,,,,,,,,
28,14-DELA-24.2_19740711,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.1,,137,,30.5,,2.1,,,,FALSE,FALSE,,,,,,,,,,,,,23,65,,,,,,,,,,,,,,,
29,14-EDEL-0.8_19740814,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.2,,,,,,2.2,,0,,FALSE,FALSE,,,,,,,,,,,,,27,70,,,,,,,,,,,,,,,
30,14-WDEL-1.3_19740814,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,,,35,,1,,0,,FALSE,FALSE,0,,,,,,,,,,,,17,55,,,,,,,,,,,,,,,
31,14-WDEL-9.5_19740814,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,73,,1.55,,,,0,,FALSE,FALSE,,,,,,,,,,,,,14.5,50,,,,,,,,,,,,,,,
32,14-WDEL-16.2_19740814,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,0.9,,73,,49,,,,,,FALSE,FALSE,,,,,,80,,,20,,,,9.2,42,,,,,,,,,,,,,,,
33,14-DELA-31.2_19740815,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.2,,46,,13.5,,2.2,,0,,FALSE,FALSE,0,,,,40,40,,15,,,,,22,120,,,,,,,,,,,,,,,
34,14-DELA-36.5_19740815,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.6,,,,1.1,,1.6,,,,FALSE,FALSE,0,,,,,,,,,,,,24,135,,,,,,,,,,,,,,,
35,14-DELA-45.2_19740815,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.6,,46,,7.5,,2.6,,0,,FALSE,FALSE,,,,,,,,,,,,,24,135,,,,,,,,,,,,,,,
36,14-DELA-50.4_19740815,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.8,,55,,22,,1.8,,,,FALSE,FALSE,,,,,,,,,,,,,22.5,115,,,,,,,,,,,,,,,
37,14-DELA-59.2_19740815,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.5,,110,,22.5,,1.5,,0,,FALSE,FALSE,0,,,,,80,,10,,,,,,,,,,,,,,,,,,,,,
38,14-DELA-70.1_19740815,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.2,,,,26.5,,1.2,,0,,FALSE,FALSE,0,,,,,,,,,,,,17.5,55,,,,,,,,,,,,,,,
39,14-DELA-1.8_19740816,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,5,,40,,21.5,,5,,0,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,14-DELA-3.2_19740816,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,61,,0.9,,2,,,,FALSE,FALSE,0,,,,,,,,,,,,25,95,,,,,,,,,,,,,,,
41,14-DELA-11.6_19740816,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.2,,,,4.5,,2.2,,,,FALSE,FALSE,0,,,,,,,,,,,,22,105,,,,,,,,,,,,,,,
42,14-DELA-24.2_19740816,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.5,,,,2.5,,2.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,22.5,95,,,,,,,,,,,,,,,
43,14-EDEL-0.8_19740917,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.5,,100,,19,,2.5,,0,,FALSE,FALSE,,,,,,80,,10,10,,,,18.5,,,,,,,,,,,,,,,,
44,14-WDEL-1.3_19740917,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1,,75,,0,,1,,0,,FALSE,FALSE,0,,,,30,40,,,20,,,,18.5,,,,,,,,,,,,,,,,
45,14-WDEL-9.5_19740917,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,0.6,,75,,,,0.6,,0,,FALSE,FALSE,,,,,30,40,,,20,,,,16.5,,,,,,,,,,,,,,,,
46,14-WDEL-16.2_19740917,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1,,75,,,,,,0,,FALSE,FALSE,0,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
47,14-DELA-24.2_19740918,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.7,,200,,36,,1.7,,0,,FALSE,FALSE,0,,,,,,,,,,,,19,,,,,,,,,,,,,,,,
48,14-DELA-31.2_19740918,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,200,,15,,2,,0,,FALSE,FALSE,,,,,,70,,10,20,,,,19,,,,,,,,,,,,,,,,
49,14-DELA-36.5_19740918,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.7,,150,,25.5,,1.7,,0,,FALSE,FALSE,,,,,30,30,,20,20,,,,19,,,,,,,,,,,,,,,,
50,14-DELA-45.2_19740918,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.4,,150,,20,,2.4,,0,,FALSE,TRUE,,,,,30,30,,10,30,,,,19,,,,,,,,,,,,,,,,
51,14-DELA-50.4_19740918,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.5,,150,,18,,1.5,,0,,FALSE,TRUE,0,,,,20,60,,10,10,,,,19,,,,,,,,,,,,,,,,
52,14-DELA-59.2_19740918,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.5,,120,,16.5,,1.5,,0,,FALSE,FALSE,,,,,20,50,,10,20,,,,18.5,,,,,,,,,,,,,,,,
53,14-DELA-70.1_19740918,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.2,,100,,19,,1.2,,,,FALSE,FALSE,,,,,30,50,,10,10,,,,17.5,,,,,,,,,,,,,,,,
54,14-DELA-1.8_19740919,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,3.7,,100,,19,,3.7,,0,,FALSE,FALSE,0,,,,,,,,,,,,19,,,,,,,,,,,,,,,,
55,14-DELA-3.2_19740919,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,200,,16,,2,,,,FALSE,FALSE,,,,,,30,,20,20,20,,,20,,,,,,,,,,,,,,,,
56,14-DELA-11.6_19740919,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.3,,150,,28.5,,1.3,,0,,FALSE,FALSE,0,,,,,80,,10,10,,,,18.5,,,,,,,,,,,,,,,,
57,07-OWLI-12.4_19800617,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.2,,60,,17,,0.4,,0,,FALSE,FALSE,0,,,,,,,30,30,30,,,19,500,9,8.1,,,,,,,,,,,,,
58,07-OWLI-13.8_19800617,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,3,,60,,31,,0.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,17.5,600,8.6,7.2,,,,,,,,,,,,,
59,04-GENS-2.6_19800618,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1,,,,7,,0.5,,0,,FALSE,FALSE,0,,,,,,,30,30,30,,,8.8000000000000007,700,8.8,7.9,,,,,,,,,,,,,
60,04-GENS-4.7_19800618,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,0.2,,70,,14,,0.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,20,690,8.5,7.6,,,,,,,,,,,,,
61,07-GRBR-0.3_19800618,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,20,,25,,0.3,,0,,FALSE,FALSE,0,,,,,,,,,,,,18,550,7.2,7.1,,,,,,,,,,,,,
62,07-GRBR-1.4_19800618,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.8,,50,,10,,0.8,,0,,FALSE,TRUE,0,,,,,,,30,30,30,,,19.5,500,11,8,,,,,,,,,,,,,
63,07-OWLI-13.8_19800618,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1,,15,,20,,0.4,,0,,FALSE,TRUE,0,,,,,,,,,,,,19,600,10.4,7.8,,,,,,,,,,,,,
64,04-GENS-10.5_19800619,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,4,,100,,22,,0.4,,0,,FALSE,FALSE,0,,,,,,,,,,,,20,500,6.5,8,,,,,,,,,,,,,
65,04-GENS-12.3_19800619,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,3,,70,,17,,0.4,,0,,FALSE,FALSE,0,,,,,,,,,,,,20,600,6.5,7.9,,,,,,,,,,,,,
66,04-GENS-15.1_19800619,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,3,,40,,32,,0.4,,0,,FALSE,FALSE,0,,,,,,,,,,,,18.5,550,8,8.1,,,,,,,,,,,,,
67,04-GENS-35.1_19800619,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.8,,40,,32,,0.3,,0,,FALSE,FALSE,0,,,,,,,,,,,,19,500,7,7.6,,,,,,,Used macro field record to inform biosample field,,,,,,
68,04-GENS-35.1_19800619,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.6,,30,,40,,0.3,,0,,FALSE,FALSE,0,,,,,,,,,,,,19,400,6.4,7.3,,,,,,,Used macro field record to inform biosample field,,,,,,
69,07-GNAR-22.2_19800722,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.5,,,,11,,0.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,27,750,,8.3,,,,,,,,,,,,,
70,07-POBK_T4-1.5_19800722,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1,,,,8,,0.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,26,700,,8.4,,,,,,,,,,,,,
71,04-GENS-2.6_19800723,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,,,,,,,1,,0,,FALSE,TRUE,0,,,,,,,,,,,,29,800,5,7.6,,,,,,,,,,,,,
72,04-GENS-4.7_19800723,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,7.8,,,,,,1,,0,,FALSE,FALSE,0,,,,,,,,,,,,28,800,6.4,8.1,,,,,,,,,,,,,
73,07-GNAR-13.7_19800723,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,,,10,,0.6,,0,,FALSE,FALSE,0,,,,,,,,,,,,23,800,7.4,8.1,,,,,,,,,,,,,
74,07-MART-3.8_19800723,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.8,,,,,,0.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,26,650,,8.3,,,,,,,,,,,,,
75,07-MUSK-0.5_19800723,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,,,17,,,,0,,FALSE,FALSE,0,,,,,,,,,,,,23,700,6,8,,,,,,,,,,,,,
76,07-OWAS-4.0_19800723,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,,,35,,0.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,26,700,7,8.2,,,,,,,,,,,,,
77,04-GENS-10.5_19800724,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,4,,,,9,,0.7,,0,,FALSE,FALSE,0,,,,,,,,,,,,26.5,800,6.4,,,,,,,,,,,,,,
78,04-GENS-12.3_19800724,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,3.3,,,,10,,0.6,,0,,FALSE,FALSE,0,,,,,,,,,,,,25.5,1250,8,,,,,,,,,,,,,,
79,04-GENS-15.1_19800724,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,2.3,,,,22,,0.4,,0,,FALSE,FALSE,0,,,,,50,,50,,,,,23,1100,6,,,,,,,,,,,,,,
80,04-GENS-35.1_19800724,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,1.5,,,,20,,0.3,,0,,FALSE,FALSE,0,,,,,,,100,,,,,24,800,6,,,,,,,,,,,,,,
81,04-GENS-35.1_19800724,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,1.3,,,,25,,0.2,,0,,FALSE,FALSE,0,,,,,75,,25,,,,,24,1600,7,,,,,,,,,,,,,,
82,07-RCKY-0.3_19800826,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.5,,,,17,,0.7,,1,,FALSE,FALSE,0,,,,,,,,,90,,,24,800,7.8,,,,,,,,,,,,,,
83,07-SEOS_T37-0.2_19800826,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.8,,,,6,,0.6,,0,,FALSE,FALSE,0,,,,,,,,60,20,,,23,700,11.5,,,,,,,,,,,,,,
84,07-SUKE-0.6_19800826,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,3,,,,4,,0.9,,0,,FALSE,FALSE,0,,,,,40,,40,20,,,,25,650,11.4,,,,,,,,,,,,,,
85,07-BUTL-3.5_19800827,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.5,,,,33,,0.4,,0,,FALSE,FALSE,0,,,,,,,,,,,,23,600,6.4,,,,,,,,,,,,,,
86,07-CANA-26.8_19800827,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,0.9,,,,5,,0.5,,1,,FALSE,FALSE,0,,,,,,,,,,,,20,900,3.7,,,,,,,,,,,,,,
87,07-CANA-32.8_19800827,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1,,,,8,,0.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,22,800,5.9,,,,,,,,,,,,,,
88,04-GENS-2.6_19800827,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,5.4,,,,13,,0.8,,0,,FALSE,TRUE,0,,,,,,,,,,,,26,750,9,,,,,,,,,,,,,,
89,04-GENS-4.7_19800827,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,5.7,,,,9,,,,0,,FALSE,FALSE,0,,,,,,,,,,,,28,700,9.8,,,,,,,,,,,,,,
90,04-GENS-10.5_19800827,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,3,,,,13,,0.6,,0,,FALSE,FALSE,0,,,,,,,,,,,,26,700,11,,,,,,,,,,,,,,
91,04-GENS-12.3_19800827,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,3,,,,17,,0.7,,0,,FALSE,FALSE,0,,,,,,,,,,,,25,1200,0.2,,,,,,,,,,,,,,
92,04-GENS-15.1_19800828,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,2.2,,,,12,,0.4,,0,,FALSE,FALSE,0,,,,,,,,,,,,21,1350,7.8,,,,,,,,,,,,,,
93,04-GENS-35.1_19800828,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,1.5,,,,14,,0.3,,0,,FALSE,FALSE,0,,,,,,,,,,,,23,1400,7.8,,,,,,,,,,,,,,
94,04-GENS-35.1_19800828,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,1,,,,23,,0.4,,0,,FALSE,FALSE,0,,,,,,,,,,,,24,1450,7.6,,,,,,,,,,,,,,
95,07-CAYT_T123-1.9_19800930,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,,,5,,0.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,16,650,10.6,8.1,,,,,,,,,,,,,
96,07-FALL-1.2_19800930,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1,,,,10,,0.6,,0,,FALSE,TRUE,0,,,,,,,,,,,,16,550,13,8.6,,,,,,,,,,,,,
97,07-YAWG-2.3_19800930,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.5,,,,13,,0.6,,0,,FALSE,FALSE,0,,,,,,,,,,,,16,700,8.9,8.2,,,,,,,,,,,,,
98,04-GENS-2.6_19801001,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,4.8,,,,22,,0.4,,0,,FALSE,TRUE,0,,,,,,,,,,,,16,700,8.9,7.5,,,,,,,,,,,,,
99,04-GENS-4.7_19801001,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,5.6,,,,13,,0.4,,0,,FALSE,TRUE,0,,,,,,,,,,,,17,625,8.5,7.8,,,,,,,,,,,,,
100,04-GENS-10.5_19801001,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,3.6,,,,21,,0.5,,0,,FALSE,TRUE,0,,,,,,,,,,,,17,600,8.6,8.3,,,,,,,,,,,,,
101,04-GENS-12.3_19801001,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,3.1,,,,16,,0.4,,0,,FALSE,FALSE,0,,,,,,,,,,,,16.5,950,8.6,,,,,,,,,,,,,,
102,07-SXML-0.7_19801001,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.1,,,,48,,0.8,,0,,FALSE,FALSE,0,,,,,,,,,,,,15,700,8.6,8,,,,,,,,,,,,,
103,07-TGHN-0.8_19801001,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.1,,,,38,,0.4,,0,,FALSE,FALSE,0,,,,,,,,,,,,16,500,8.8,8.1,,,,,,,,,,,,,
104,07-YAWG_N-0.2_19801001,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,0.8,,,,5,,0.8,,0,,FALSE,FALSE,0,,,,,,,,,,,,14,700,9.2,8.1,,,,,,,,,,,,,
105,04-GENS-15.1_19801002,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,2,,,,19,,0.4,,0,,FALSE,FALSE,0,,,,,,,,,,,,14,700,8.4,7.8,,,,,,,,,,,,,
106,04-GENS-35.1_19801002,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,1.3,,,,42,,0.4,,0,,FALSE,TRUE,0,,,,,,,,,,,,14,475,10.4,8.3,,,,,,,,,,,,,
107,04-GENS-35.1_19801002,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,1.4,,,,30,,0.3,,0,,FALSE,TRUE,0,,,,,,,,,,,,15,625,9.2,8.4,,,,,,,,,,,,,
108,14-DELA-45.2_19810609,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,0.9,,,,15,,,,0,,FALSE,FALSE,0,,,,,,,,,,,,24,70,9.8,,,,,,,,,,,,,,
109,14-DELA-50.4_19810609,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1,,,,15,,,bottom,0,,FALSE,FALSE,0,,,,,,,,,,,,25,60,9.6,,,,,,,,,,,,,,
110,14-DELA-59.2_19810609,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,0.8,,,,25,,,bottom,0,,FALSE,FALSE,0,,,,,,,,,,,,23,60,8.9,,,,,,,,,,,,,,
111,14-DELA-70.1_19810609,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,0.9,,,,25,,,bottom,0,,FALSE,TRUE,0,,,,,,,,,,,,24,70,11,,,,,,,,,,,,,,
