"site_id","condition_class","PC1"
"13-RIOG-0.7","2",-0.690436592087737
"13-SPRO-9.2","2",-0.0912031099310112
"13-WALK-35.6","2",0.330885594460326
"13-WALK_T25-1.5","3",-0.911140297599382
"13-WBLKK-8.9","1",1.12320423201778
"13-WKLEI-0.6","2",0.431607136160071
"14-HURL-2.8","1",1.4113904804743
"14-TENR-3.7","1",1.93291553129705
"14-WLAK-5.8","1",1.85007415089865
"15-HACK-3.3","2",-0.0963748035769861
"15-MAWA-3.7","1",1.34912890579862
"15-RAMA-13.7","2",-0.0362203900212023
"16-AMEN_T2-1.1","2",-0.661866911760941
"16-BOGH-0.3","1",2.08952009522581
"16-SWEL-0.1","2",0.295660296324115
"16-SWMP-6.8","2",0.565083128278617
"16-WEBA-23.3","1",1.45826044887144
"16-WEBA_T4-1.3","2",0.563385280187279
"17-BRWN-0.9","2",-0.158703694080539
"17-BVDC-0.4","2",0.376979367431698
"17-CARL-0.8","2",-0.671284816954156
"17-CARM-12.9","2",0.972601506838263
"17-CARM-9.0","2",0.327802337931276
"17-EMED-0.4","3",-1.88329307843522
"17-GREN-0.8","2",-0.561383648728892
"17-MASS-1.2","2",-0.506809371895355
"17-MBUR-2.1","3",-1.07838254278846
"17-MIAN-14.2","2",1.11343725383825
"17-MUDL-1.4","2",0.0323044909406599
"17-NISS-4.7","2",-0.626467360358162
"17-NISS_E-2.6","2",-0.784079227107162
"17-OROW-0.6","3",-0.961191088492545
"17-PECN-12.4","1",1.32356776638002
"17-PECN-8.9","1",1.92924361419199
"17-PENA-1.4","3",-1.52126097806679
"17-SAMP-2.1","2",-0.811568248598961
"17-SANT-1.7","3",-1.18199465623186
"17-SWML-1.4","3",-0.929929908855763
"17-TERR-0.2","2",0.925291987912741
