"site_id","condition_class","PC1"
"16-WEBA_T4-1.3","2",0.624969870510078
"17-BRWN-0.9","2",-0.57403686599229
"17-BVDC-0.4","2",0.0931066340767282
"17-CARL-0.8","2",-0.016243905722478
"17-CARM-12.9","2",0.3567675594282
"17-CARM-9.0","2",0.0270505027297653
"17-EMED-0.4","3",-2.26222575189648
"17-GREN-0.8","3",-0.986100247708655
"17-MASS-1.2","2",-0.88707247828582
"17-MBUR-2.1","3",-1.3923000813957
"17-MIAN-14.2","2",1.09067450175336
"17-MUDL-1.4","2",-0.335339616421746
"17-NISS-4.7","2",-0.873624500182541
"17-NISS_E-2.6","3",-1.1647541103754
"17-OROW-0.6","3",-1.40974482710145
"17-PECN-12.4","2",0.935723544613718
"17-PECN-8.9","1",1.71216432663972
"17-PENA-1.4","3",-1.94318642379499
"17-SAMP-2.1","3",-1.17910917335723
"17-SANT-1.7","3",-1.55744699078375
"17-SWML-1.4","3",-1.19095033983463
"17-TERR-0.2","2",0.660184701492035
