site_id,macrophyte_pct,spcond,ph,landcover_nat_pct,landcover_dev_pct,landcover_ag_pct,habitat_total_score
01-FISN-2.4,100,2132,7.4,65.2798686191323,4.55727384699603,30.1628575338716,103
01-GILL-0.3,29.084967320261438,476,8.8,26.9643623872907,52.918276799771,16.3847144697295,102
01-GOTC-0.2,80,2108,7.8,37.7171643649319,47.1584270308579,14.2011607638822,83
01-LSIS-2.4,40,909,7.5,64.9924055936731,12.1353375582674,22.6156182894254,156
01-MURD-20.0,70,636,7.5,42.2138502462803,4.40249971362751,53.1138235181815,162
01-PION-0.9,20,711,7.8,40.9221902017291,29.0585975024015,30.0192122958694,128
01-PLUT_N_T4-1.0,40,664,7.5,41.8802498384665,21.6454878311437,36.3773422356235,136
01-STYB_T5-0.3,0,282,7.2,48.0230050323508,3.35490055116223,48.6220944164869,125
01-TONA-103.5,0,487,8.1,43.8555813183173,3.40068455338412,51.750027602959,166
01-VBUR-0.4,0,827,7.24,47.3578674215617,7.4899740504836,43.8900684123614,120
02-BLBA-0.4,50,387,7.4,42.4815585398146,22.1108379042935,35.161717420087,164
02-CASS-25.6,20,284,7.5,70.4831207110947,3.41679587753368,25.1989335625867,173
02-CASS-33.3,10,401,7.7,60.0241886716388,5.58556742592219,32.007659746019,133.31875
02-RAWS-0.8,30,304,7.1,77.2955076997844,1.69182638277192,20.6998147191933,157
03-BEAG-1.8,10,820,7.78,39.2607827239109,4.1509284711373,56.5606027646489,98
03-BEEK-4.5,50,615,7.6,45.7723163122374,5.74939513561696,48.4782885521457,147
03-CHMO-8.6,100,506,7.2,44.5713236644024,5.61042775839912,49.3133835138608,130
03-EMIL_E_T6-0.4,100,802,7.33,31.3953488372093,7.23514211886305,61.3695090439276,83
03-FOMI-5.5,50,908,7.4,41.8515530455829,49.9798305768455,6.26260588947156,131
03-FOMI_S-0.1,0,834,7.7,51.2148669706239,38.5121486697062,8.65700929185664,121
03-GUFF-0.9,100,373,6.9,39.1154188948307,3.31996434937611,57.4866310160428,126
03-HRTB-2.2,20,718,7.7,27.6710796196159,4.48132264279943,65.8835229038473,120
03-JEDO_T3-0.4,10,879,8.06,17.1957671957672,3.43915343915344,78.3068783068783,118
03-JOHN-13.7,10,694,8.13,36.4182025623565,6.19574383649983,57.1619263221029,88
03-MIDL-2.4,40,939,7.73,28.4602688045272,3.86701249705258,67.6727186984202,95
03-SAND_T21-4.0,10,95,6.8,94.5520183787332,0.525106662290778,3.80702330160814,177
03-TELV-12.8,40,739,7.4,49.1469455145845,5.99889928453495,44.0286186020914,126
03-YANT_T1c-0.2,80,779,7.46,33.8132198297446,2.8042063094642,63.3825738607912,77
04-BLAK_N_T1-1.1,30,774,7.65,54.2450583472255,2.60180995475113,43.1531316980233,135
04-BLAK_T16-0.8,10,627,8.29,39.7279939554212,2.43294295428787,57.8390630902909,75
04-BLAK_T7-3.0,30,970,7.4,38.7188323535374,51.7534968578958,9.00060814919927,128
04-BLCE-5.2,10,114,7.6,77.0808296786478,1.86974232516036,20.4423079924461,133
04-JCOX-4.6,10,837,8.09,18.7036464771323,7.43974042027194,73.8566131025958,122
04-JCOX_S-3.7,90,901,7.35,23.5507246376812,12.5,63.9492753623188,126
04-MCMI_S-5.0,30,316,7.62,67.2939193933436,4.79801526002902,27.3744324299022,151
04-OATK-46.2,29.084967320261438,574,7.7,42.0258016266243,5.78333043977617,52.0907063395612,120
04-SPRG-10.1,70,722,7.44,16.9945014454963,5.1357632787257,77.869735275778,141
04-WCONI-0.6,20,399,7.44,64.143082536239,4.69874765802189,30.9782072773888,128
04-WDIT-0.1,10,562,7.75,43.5497960393977,5.55862765369173,50.8611224645173,89
04-WMRSG-0.2,20,129,7.24,61.4338444065872,1.65247018739353,36.9136854060193,188
05-CAMB-11.2,10,136,6.7,53.968253968254,1.62800162800163,43.956043956044,170
05-CBRO-1.8,60,706,7.2,17.8124612907222,74.9783228044098,7.13489409141583,151
05-STEO-35.7,30,635,7.7,63.9162045299381,6.07924397225982,29.7344560361245,103
05-WINI_T2-1.2,25,380,7.1,83.5477707006369,7.94904458598726,8.5031847133758,104
06-FABS-5.0,20,560,7.66,35.4523227383863,6.00874268355931,57.4572127139364,164
06-FLYS-0.7,50,393,7.71,42.6509545994336,3.0282269114826,53.8183977345391,142
06-MADB-0.1,10,211,7.13,66.7940658788031,3.20341966306261,29.7661553935127,145
06-NING-7.7,50,84,6.87,88.7317719840919,0.980998674326116,10.0309323906319,172
07-BLDY-0.1,30,2592,7.9,10.738720872583,87.4665344571145,1.79474467030243,37
07-BUTL-3.5,29.084967320261438,610,7.8,42.6447909527073,3.19568197395476,54.0738519533927,151
07-CANA-32.8,30,536,8.14,48.3109665427509,7.09925650557621,35.6228624535316,143.2594936708861
07-COWA_T10-0.9,10,551,7.69,37.2404554588078,37.3074346952445,25.4521098459478,143
07-GEDD-1.4,29.084967320261438,2267,7.67,33.7187216120241,45.8832273515567,20.3650177553886,143.2594936708861
07-HARB-0.5,40,2085,7.61,32.6882092045389,49.3692759633662,17.6401128967225,83
07-HENC_T4-1.2,0,406,7.5,31.1237373737374,2.02020202020202,66.8560606060606,110
07-JACB-1.9,10,730,8.1,15.4255834220974,3.28265711242374,81.2917594654789,131
07-LITR-0.2,30,119,7.6,89.2896079249498,0.537706771471257,7.87380378750151,156
07-MUDE-4.4,10,470,7.47,33.7402902166971,57.921549406645,8.26538341576438,155
07-MUSK-0.5,40,508,7.35,33.8832875038191,4.63601717400743,57.6696094038947,141
07-NINE-0.7,10,2743,7.9,42.3738836591842,14.0972725078446,40.1873642288197,95.25949367088607
07-NORB_T10-1.5,29.084967320261438,724,7.94,33.8912133891213,19.3305439330544,46.7782426778243,161
07-ONON_W_T7-1.5,40,817,7.79,6.40176600441501,4.74613686534216,88.8520971302428,131
07-POBK_T4-1.5,10,1478,7.5,5.74412532637076,12.3585726718886,81.4621409921671,117
07-SNDR-1.5,30,2708,7.27,12.5377643504532,77.7567975830816,9.70543806646526,26
07-WBOT-0.3,40,1145,7.74,43.2365308481078,7.62534733321858,48.7963213416283,129
08-BARE_T5-0.5,25,70,5.9,92.2036082474227,1.09536082474227,0,181
08-BENE-0.2,10,17.6,6.42,98.4514910046825,0.0903639201511542,0,172
08-BLAC-2.5,0,59,6.97,88.9170647323622,0.377425252108274,10.3143244677714,131
